iter	Logloss
0	0.6025206014
1	0.5307794905
2	0.4701449429
3	0.4214304929
4	0.3806273433
5	0.3476436538
6	0.3205946517
7	0.298000195
8	0.2779469379
9	0.2626355039
10	0.2460924819
11	0.233803008
12	0.2242217491
13	0.2122478231
14	0.2042043525
15	0.1963117776
16	0.1904711274
17	0.1843819386
18	0.1780142441
19	0.172818552
20	0.1691161824
21	0.1659155715
22	0.1602350738
23	0.1541180995
24	0.1482994019
25	0.1438114351
26	0.1410059104
27	0.1386191972
28	0.1363771076
29	0.1320518386
30	0.1303851072
31	0.1273188177
32	0.1245414572
33	0.1229513099
34	0.1203778708
35	0.1191561001
36	0.1173397986
37	0.1156618939
38	0.1144558566
39	0.111977856
40	0.1099325141
41	0.1073572419
42	0.1052440272
43	0.1032820113
44	0.1017947565
45	0.1003229624
46	0.09910410801
47	0.09808064548
48	0.09713021436
49	0.0964101341
50	0.09573481502
51	0.0952208226
52	0.09437934397
53	0.09375602788
54	0.09307345187
55	0.09238968657
56	0.09177439249
57	0.09108788502
58	0.08938019511
59	0.08828156498
60	0.08771870566
61	0.08687203053
62	0.08603355921
63	0.08535757353
64	0.08481365193
65	0.0843944693
66	0.08408786005
67	0.08363392292
68	0.08247713884
69	0.08178526062
70	0.08111866048
71	0.08075734394
72	0.08005602717
73	0.07974366085
74	0.07834311802
75	0.0780004362
76	0.07736067459
77	0.07715170822
78	0.07678864942
79	0.07611240618
80	0.07567487669
81	0.07541792971
82	0.07484462435
83	0.07370611138
84	0.07310250566
85	0.07285127788
86	0.07225606536
87	0.07184498807
88	0.07118883397
89	0.07081496551
90	0.07058773561
91	0.07030076856
92	0.06948910548
93	0.06913721235
94	0.06851848676
95	0.06820199959
96	0.06796820966
97	0.06758397848
98	0.06693454348
99	0.06647556134
100	0.06597042419
101	0.06579976504
102	0.06537406026
103	0.06511811319
104	0.06481013285
105	0.06443061338
106	0.06375432469
107	0.06353918463
108	0.06334870904
109	0.06313634525
110	0.06290707007
111	0.06272649134
112	0.06211635589
113	0.06192532354
114	0.06158837606
115	0.06127379403
116	0.06095870068
117	0.06081840627
118	0.06067705134
119	0.06003508159
120	0.05919401203
121	0.05903788189
122	0.05887735442
123	0.05878514288
124	0.05862321023
125	0.05813623435
126	0.05788355593
127	0.05770265905
128	0.0575698564
129	0.05744609462
130	0.05735312556
131	0.05699347933
132	0.05677112778
133	0.05668638906
134	0.0563262656
135	0.05611401922
136	0.05556904468
137	0.05540208217
138	0.0552276279
139	0.0547209568
140	0.05456522057
141	0.05445135563
142	0.05432264353
143	0.05415010576
144	0.05400069094
145	0.05389005678
146	0.05358136438
147	0.05347781672
148	0.05329951809
149	0.05322660408
150	0.0531062473
151	0.05289293662
152	0.05275590328
153	0.05268276581
154	0.05258041122
155	0.05241710748
156	0.05229165645
157	0.05205265107
158	0.05195102369
159	0.05159938812
160	0.05147064193
161	0.05134292974
162	0.05124317341
163	0.05116185484
164	0.05102083322
165	0.05092609917
166	0.05086460461
167	0.05071136437
168	0.0505855308
169	0.05017627153
170	0.05004767684
171	0.04996199503
172	0.04988134307
173	0.04979472194
174	0.04969806003
175	0.04959025896
176	0.04845110211
177	0.04818969341
178	0.04808850539
179	0.04791471772
180	0.04780293973
181	0.04773979758
182	0.04698468632
183	0.04688791458
184	0.04680342205
185	0.0467387308
186	0.04669821923
187	0.04661472283
188	0.04637150948
189	0.04630665537
190	0.04624635388
191	0.04616681925
192	0.04608723916
193	0.04602838452
194	0.04581606996
195	0.04559714614
196	0.04550369985
197	0.04539614876
198	0.04530021785
199	0.04521623285
200	0.04513446356
201	0.04501619751
202	0.04493727267
203	0.04470578556
204	0.04438643501
205	0.04430922972
206	0.04418720642
207	0.04408943476
208	0.04403336017
209	0.04397647884
210	0.04389705404
211	0.0435650228
212	0.04327344631
213	0.04313834083
214	0.04303852768
215	0.04294571392
216	0.04285510451
217	0.04281924026
218	0.04262032603
219	0.0425302696
220	0.04243293729
221	0.04222052047
222	0.04213897086
223	0.04207880952
224	0.04201823154
225	0.04194771505
226	0.04187702812
227	0.04179754651
228	0.04169463894
229	0.04161928197
230	0.04153631961
231	0.04149347491
232	0.04141385316
233	0.04135215407
234	0.04120290591
235	0.04082548852
236	0.04074566982
237	0.04058480526
238	0.04052220473
239	0.04045580909
240	0.04037900527
241	0.04031261721
242	0.04023548766
243	0.04015244955
244	0.04007498292
245	0.03999216069
246	0.03988006454
247	0.03981379389
248	0.03977721758
249	0.03967306391
250	0.03961751579
251	0.03952529667
252	0.03944732251
253	0.03928712076
254	0.03922549742
255	0.03917582
256	0.03912343448
257	0.03905278164
258	0.03899571471
259	0.03894932109
260	0.03886327188
261	0.0387928425
262	0.03874773664
263	0.03867684897
264	0.03862136903
265	0.03856882064
266	0.03849900106
267	0.03843983205
268	0.03837992068
269	0.03828000906
270	0.03810700542
271	0.03805367301
272	0.03800041257
273	0.03796998723
274	0.03790777303
275	0.03786197405
276	0.03780433521
277	0.03774406024
278	0.03767791457
279	0.0376266085
280	0.03754088502
281	0.03714001516
282	0.03697126493
283	0.03692203823
284	0.03687931094
285	0.0367771268
286	0.03671824564
287	0.03667434801
288	0.03662583336
289	0.03657903068
290	0.03653647762
291	0.03649136419
292	0.03643733866
293	0.03641150383
294	0.03631816738
295	0.03625852872
296	0.0361978106
297	0.03615242067
298	0.03609399781
299	0.03605158111
