iter	Passed	Remaining
0	1816	542997
1	1821	271447
2	1827	180885
3	1832	135596
4	1838	108459
5	1843	90350
6	1849	77400
7	1854	67692
8	1859	60135
9	1865	54092
10	1871	49156
11	1877	45048
12	1882	41554
13	1887	38564
14	1892	35962
15	1898	33691
16	1903	31687
17	1908	29903
18	1914	28315
19	1920	26889
20	1926	25588
21	1931	24406
22	1936	23326
23	1942	22335
24	1947	21421
25	1952	20581
26	1958	19802
27	1963	19076
28	1968	18399
29	1974	17770
30	1979	17178
31	1984	16623
32	1990	16101
33	1996	15615
34	2001	15153
35	2006	14713
36	2011	14297
37	2016	13905
38	2022	13532
39	2027	13177
40	2032	12839
41	2038	12523
42	2044	12220
43	2050	11928
44	2055	11648
45	2060	11378
46	2066	11123
47	2072	10880
48	2077	10643
49	2083	10416
50	2088	10197
51	2094	9987
52	2099	9786
53	2105	9590
54	2110	9402
55	2117	9225
56	2122	9049
57	2128	8879
58	2133	8715
59	2138	8555
60	2144	8401
61	2149	8251
62	2155	8107
63	2161	7968
64	2166	7832
65	2171	7700
66	2177	7571
67	2182	7446
68	2187	7323
69	2193	7208
70	2198	7092
71	2204	6981
72	2209	6870
73	2214	6764
74	2220	6660
75	2225	6559
76	2231	6461
77	2237	6367
78	2243	6275
79	2249	6185
80	2255	6096
81	2260	6009
82	2265	5924
83	2272	5843
84	2277	5760
85	2282	5680
86	2288	5602
87	2293	5525
88	2298	5449
89	2304	5376
90	2309	5304
91	2315	5235
92	2321	5166
93	2326	5098
94	2331	5031
95	2337	4967
96	2342	4902
97	2348	4840
98	2353	4778
99	2359	4719
100	2365	4660
101	2370	4602
102	2376	4545
103	2381	4488
104	2387	4433
105	2393	4380
106	2398	4327
107	2404	4273
108	2409	4222
109	2415	4171
110	2420	4121
111	2425	4071
112	2430	4022
113	2436	3975
114	2442	3929
115	2448	3883
116	2453	3837
117	2458	3792
118	2464	3748
119	2469	3704
120	2475	3661
121	2480	3619
122	2486	3577
123	2491	3536
124	2496	3495
125	2502	3455
126	2507	3416
127	2514	3378
128	2519	3339
129	2524	3301
130	2530	3264
131	2535	3227
132	2541	3190
133	2546	3154
134	2552	3119
135	2558	3084
136	2563	3050
137	2569	3015
138	2574	2982
139	2580	2948
140	2585	2915
141	2592	2884
142	2597	2851
143	2602	2819
144	2608	2787
145	2613	2756
146	2618	2725
147	2624	2695
148	2629	2664
149	2635	2635
150	2641	2606
151	2647	2577
152	2652	2548
153	2658	2520
154	2663	2491
155	2670	2464
156	2675	2436
157	2680	2409
158	2686	2381
159	2691	2354
160	2696	2327
161	2701	2301
162	2707	2275
163	2713	2250
164	2719	2224
165	2724	2199
166	2730	2174
167	2736	2149
168	2741	2124
169	2746	2100
170	2752	2076
171	2758	2052
172	2764	2029
173	2769	2005
174	2775	1982
175	2781	1959
176	2786	1936
177	2792	1913
178	2797	1891
179	2802	1868
180	2808	1846
181	2814	1824
182	2819	1802
183	2824	1780
184	2830	1759
185	2836	1738
186	2842	1717
187	2847	1696
188	2852	1675
189	2858	1654
190	2863	1634
191	2869	1614
192	2875	1594
193	2881	1574
194	2886	1554
195	2891	1534
196	2896	1514
197	2902	1495
198	2907	1475
199	2913	1456
200	2919	1437
201	2924	1418
202	2930	1400
203	2936	1381
204	2941	1363
205	2946	1344
206	2952	1326
207	2957	1308
208	2963	1290
209	2968	1272
210	2974	1254
211	2980	1237
212	2985	1219
213	2991	1201
214	2996	1184
215	3002	1167
216	3007	1150
217	3013	1133
218	3018	1116
219	3023	1099
220	3029	1082
221	3037	1067
222	3045	1051
223	3053	1035
224	3059	1019
225	3065	1003
226	3071	987
227	3076	971
228	3082	955
229	3087	939
230	3093	923
231	3098	908
232	3103	892
233	3109	877
234	3115	861
235	3120	846
236	3125	830
237	3131	815
238	3136	800
239	3142	785
240	3147	770
241	3153	755
242	3159	741
243	3164	726
244	3170	711
245	3175	697
246	3181	682
247	3186	668
248	3192	653
249	3199	639
250	3205	625
251	3211	611
252	3217	597
253	3224	584
254	3231	570
255	3237	556
256	3243	542
257	3249	529
258	3255	515
259	3261	501
260	3268	488
261	3274	474
262	3279	461
263	3285	447
264	3290	434
265	3296	421
266	3302	408
267	3308	395
268	3314	381
269	3319	368
270	3325	355
271	3330	342
272	3335	329
273	3341	317
274	3347	304
275	3353	291
276	3358	278
277	3364	266
278	3370	253
279	3375	241
280	3380	228
281	3386	216
282	3392	203
283	3397	191
284	3403	179
285	3408	166
286	3414	154
287	3419	142
288	3425	130
289	3431	118
290	3437	106
291	3443	94
292	3449	82
293	3454	70
294	3460	58
295	3466	46
296	3471	35
297	3477	23
298	3482	11
299	3487	0
